Primary ID	Win001_C01	Win001_C02	Win001_C03	Win001_C04	Win001_C05	Win001_C06	Win001_C07	Win001_C08	Win001_C09	Win001_C10	Win001_C11	Win002_C01	Win002_C02	Win002_C03	Win002_C04	Win003_C01	Win003_C02	Win003_C03	Win003_C04	Win003_C05	Win003_C06	Win003_C07	Win003_C08	Win003_C09	Win004_C01	Win004_C02	Win004_C03	Win004_C04	Win004_C05	Win004_C06	Win004_C07	Win005_C01	Win005_C02	Win005_C03	Win005_C04	Win005_C05	Win005_C06	Win006_C01	Win006_C02	Win006_C03	Win006_C04	Win006_C05	Win006_C06	Win006_C07	Win006_C08	Win006_C09	Win007_C01	Win008_C01	Win008_C02	Win008_C03	Win008_C04	Win008_C05	Win009_C01	Win009_C02	Win009_C03	Win009_C04	Win009_C05	Win009_C06	Win009_C07	Win009_C08	Win010_C01	Win010_C02	Win010_C03	Win010_C04	Win010_C05	Win011_C01	Win011_C02	Win011_C03	Win011_C04	Win011_C05	Win011_C06	Win012_C01	Win012_C02	Win012_C03	Win012_C04	Win012_C05	Win012_C06	Win012_C07	Win013_C01	Win013_C02	Win013_C03	Win013_C04	Win014_C01	Win014_C02	Win014_C03	Win014_C04	Win014_C05	Win014_C06	Win015_C01	Win015_C02	Win015_C03	Win015_C04	Win015_C05	Win015_C06	Win015_C07	Win015_C08	Win016_C01	Win016_C02	Win016_C03	Win016_C04	Win016_C05	Win016_C06	Win016_C07	Win017_C01	Win017_C02	Win017_C03	Win017_C04	Win017_C05	Win017_C06	Win018_C01	Win018_C02	Win018_C03	Win019_C01	Win019_C02	Win019_C03
136	29821647	1214131	5978967	833100	1229339	16153444	2108130	2827584	340907	6769652	445346	4324985	3449326	146637	1402869	206014	203298	482961	716704	178699	141879	179019	1528778	3323742	46981	308608	180274	131966	142852	199767	32659	115	80659	225213	757686	184798	118247	637039	165058	137798	88979	307903	208069	199499	340762	36522	5869013	200434	876537	361922	225573	155244	173698	2420	70350	99467	88514	59349	358225	49489	245190	242480	4328061	163296	104062	743583	407881	221802	150538	181751	73527	470711	154453	7210	157712	1459028	385686	659033	590735	10335	53698	46878	349138	77653	10952	23093	795531	82283	14645	3155	52578	9880	76586	65281	113710	31929	57022	263774	93087	49382	49088	2435062	235372	70575	11219	26907	15428	2438	7020	8015	15255	87211	104858	333545	2699
137	27316780	1678812	6386742	845336	1152384	14337733	2161274	2805627	424117	5850001	461946	4155437	3402799	102654	1437397	197361	179203	538986	700779	145670	119307	143681	1628105	3347887	40262	217322	182499	208300	131472	161974	34497	2386	105912	186852	820755	188531	140871	558258	133214	157681	87269	220613	180311	174650	366379	9903	5283629	136533	818611	354693	215860	142190	144321	2899	66470	80810	92878	39679	313086	69890	217913	228420	3638555	306527	104255	595625	505517	231625	135861	159508	78867	320054	209299	8523	141833	1638010	342162	702734	616420	12266	46414	39966	318729	71030	21040	23682	610452	94589	8151	6369	55366	6777	56889	53423	89228	37973	65325	278266	88920	43451	41217	1844221	252862	53656	9654	24585	668	241	17813	8617	9920	114114	97153	261127	5077
138	25559854	1147526	4961202	845868	1031334	12581738	1677597	2229249	263217	5506980	350598	3286772	2710395	114445	1023510	156280	139285	397863	527109	146470	126997	163170	1120972	2462047	45514	169402	122092	111124	96217	146413	20340	4286	59243	189050	572245	199962	84306	513255	100134	106316	90013	173503	166802	152558	178762	27032	4503263	147122	610902	254101	230476	113747	127562	2902	53237	87134	30330	58349	250445	67732	228014	112693	3111258	134865	61831	858998	312441	168779	113821	132141	43289	354526	138389	6507	169707	994243	287502	502641	409215	8430	51084	40668	229004	48855	56600	17435	883422	72026	19875	1402	57000	9391	61034	72316	96270	37691	66915	278348	116012	30808	59027	1714493	274336	75882	9241	21700	12730	3019	4740	10270	20375	90042	91887	437969	5145
139	24893884	1150622	5325650	812330	1098392	12983471	1918247	2298396	296745	5235772	367070	3604333	2720710	121716	1049365	170677	145210	398949	742786	151180	103121	133682	1225129	2546093	43492	192145	139313	101671	102799	108860	17124	1309	21382	140703	742923	134236	73749	440993	90306	89903	77409	201626	135439	159389	266840	29451	4509621	125461	678277	294312	151790	113716	141812	1617	46904	117039	53986	10742	265148	51638	137256	158517	3202494	134513	48960	931959	357396	160628	116644	144476	52647	423707	142513	12135	179355	1198142	312508	542251	509749	2367	48816	45578	260013	61453	11057	21457	985027	28537	13709	6270	67506	9101	76703	99080	93960	41901	83822	329135	161218	34277	70626	1826057	238915	82436	6236	22521	9587	5396	7487	11085	22926	82730	128230	483811	5952
140	34711248	1552458	5678910	1211972	901193	14150832	2081170	2459241	408062	7275795	463451	3559315	3688231	119520	1496862	152817	181603	625292	282191	219958	189518	227501	1208397	3118131	41859	357634	208829	81025	166073	186943	19893	5980	241341	196780	309971	282040	69157	829711	103137	130369	143684	193566	222653	204234	181279	30662	4748099	214649	505457	323857	181135	102337	137270	5328	68960	71678	36205	46837	293638	72093	339885	132440	3048773	114103	82665	811395	319320	166480	119162	126506	78683	299227	132780	6825	144537	961014	241830	716581	332172	28167	37911	65299	233603	58188	24325	25674	825573	78304	14254	5726	50088	9892	53170	56680	60055	21113	48057	234109	89177	63429	54629	987404	293366	71117	2114	20666	1694	1594	7352	5281	10074	112220	93112	252146	1871
141	29700106	1377675	4911754	877532	940226	13117309	1857870	2068645	328012	5833279	480295	3480944	2949930	112731	1103567	139380	146348	467963	504646	147822	135273	218231	1056364	2515273	41030	565201	141168	80490	120600	162886	12788	11112	81823	166606	398231	286314	67497	571363	158575	95849	101937	184656	219170	166858	190970	32267	4310894	142985	509516	250928	194669	82108	108104	3403	66880	76860	26343	37062	291174	42404	278532	108028	2590586	142121	78025	593166	264052	106850	120807	133939	81512	334299	120130	3718	114043	870107	249235	407504	354550	14035	42089	37553	208865	74067	41861	18118	639480	67450	15832	5740	38804	10985	50269	50706	76519	13437	20858	194691	86552	83031	44491	1329284	173265	59516	8036	24249	1044	523	6911	4459	13952	122782	77030	266094	305
142	28608626	1226322	4874699	858607	803416	12877234	1840570	2119496	315402	6246639	364192	3302903	2891246	108812	1104436	144188	163147	485093	363653	118150	145936	168085	1025639	2333446	40257	298564	156447	66712	154328	113853	8084	10413	227724	192321	370854	222220	61416	607383	147735	92778	100619	182100	174846	175879	113399	38580	4109709	108715	454377	235705	121106	75354	85890	4932	45811	72810	10986	19082	291733	60822	271364	78476	2604905	76985	68853	704153	283543	126229	121931	67335	52007	274758	167678	3588	139469	830155	215092	430047	329953	30134	45681	58723	189645	40511	21804	18988	771474	47436	13557	4759	52775	10125	54672	54922	49694	26077	49556	246995	91624	44284	48177	652576	457822	62850	5915	16587	3778	698	4615	4604	7593	92345	71268	215465	2209
143	23633276	1321646	6233309	887141	1572224	16780671	2090683	2630897	472190	5962773	368893	5543275	3309553	155601	1404791	234500	151305	401147	1085665	144530	90133	137320	1960909	3319879	41691	63163	169983	295962	118740	172501	32997	1966	3077	192861	1698504	116943	144880	447224	150911	111879	52145	281902	185490	122253	476239	6201	5691148	192482	875809	368676	394236	151224	228395	4453	47433	157028	131508	46810	311169	60094	238546	250507	3949324	110342	101559	1523796	381651	221527	143707	153054	40216	572194	143147	22611	307317	1258334	465043	912617	571424	30402	44188	61665	354993	60257	52451	16788	1666245	67384	23235	937	96482	13860	105139	154078	165167	51405	85876	486503	213787	40730	137290	5499901	324859	173928	6772	27700	1527	2975	11817	5213	49499	92702	281768	1367671	3322
144	24056443	1067505	4785820	696149	955386	13993311	1828319	2355534	357296	5067071	286535	4190246	3044441	114082	1211323	184922	158651	420791	546557	116382	117926	116407	1257091	2637094	60337	16864	142716	121875	102756	113030	24886	1328	709	164017	817179	149480	102032	460189	86785	73926	66815	200212	166007	136144	252613	15186	4663683	137476	655002	281968	313413	101782	165185	5012	7862	118073	31557	41433	294217	45473	382627	116745	3027260	114090	39471	1055583	339906	160268	133817	118696	79460	370458	64562	4662	207044	1058238	277549	524055	492116	23732	44991	60259	249814	39431	54760	17965	1124098	31872	12398	2416	72857	11211	45745	86556	91579	42173	89689	390780	153023	40733	68028	1685597	373656	96825	5042	25571	2636	1098	4419	4434	19135	65877	110668	424521	4488
145	27306382	2147400	3855606	697913	793816	11431919	1524536	1969051	348778	4796805	336524	3117046	2471215	110531	870315	158335	142663	415806	233138	142853	121231	159100	976576	2264721	34631	471540	137851	94249	105187	242594	22143	94343	586957	113039	383425	216820	86902	426121	106678	125445	86040	166114	190915	136949	162928	9521	4089358	147785	487296	269772	159210	88610	354483	282723	68465	38961	24515	56585	285349	42746	407118	113596	2411126	102959	94548	480673	220870	128100	100305	682084	123302	265468	70927	3104	103563	782571	183329	464833	279799	15307	49549	38008	200379	98118	64907	23123	441635	79462	24821	9289	33363	9506	36281	35603	69277	15386	31596	169265	23367	94244	31626	1167984	233002	43086	5209	21956	1770	4000	21385	3910	381	107596	35292	203411	5134
